claim_id,claim_page_number,claim_text,claim_type,raw_value,numeric_value,verdict,confidence,evidence_source_type,evidence_page_number,evidence_text,evidence_row_text,notes
1a0cc96650144f8a96688de52f3777d4,5,"• Set 1: Derived from the VEDAI-VISIBLE dataset, this set included 10% of the dataset, comprising 121 images labeled manually into two classes: cars and trucks.",percentage,10%,10.0,insufficient,0.3,text,5,"• Set 1: Derived from the VEDAI-VISIBLE dataset, this set included 10% of the dataset, comprising 121 images labeled manually into two classes: cars and trucks.",,Only direct claim sentence found. Independent supporting evidence not found yet.
659a330c43614445b79ddf93bf9ed646,9,"For instance, it increased the mAP from 72.5 to 82.3% for the VEDAI- VISIBLE dataset and had similar improvements for the VEDAI-IR and DOTA datasets.",percentage,82.3%,82.3,supported,0.8045454545454545,text,9,This Dataset mAP@0.5 Pre-Super-Resolution mAP@0.5 Post-Super-Resolution Improvement (%) VEDAI-VISIBLE 72.5% 82.3% + 13.5% VEDAI-IR 70.1% 78.6% + 12.1% DOTA 65.4% 75.2% + 15.0% Table 4.,,Matched related text evidence with similar numeric value.
b827e145790b43109d1020394ac3bece,9,"For all datasets, Table 4 shows consistent improvements in mAP at 0.5 IoU threshold after super-resolution, with gains between 12.1% and 15.0%.",percentage,12.1%,12.1,supported,0.6227272727272727,text,9,This Dataset mAP@0.5 Pre-Super-Resolution mAP@0.5 Post-Super-Resolution Improvement (%) VEDAI-VISIBLE 72.5% 82.3% + 13.5% VEDAI-IR 70.1% 78.6% + 12.1% DOTA 65.4% 75.2% + 15.0% Table 4.,,Matched related text evidence with similar numeric value.
7bcd14fc7630462890b5b93217fd63b5,9,"For all datasets, Table 4 shows consistent improvements in mAP at 0.5 IoU threshold after super-resolution, with gains between 12.1% and 15.0%.",percentage,15.0%,15.0,supported,0.6227272727272727,text,9,This Dataset mAP@0.5 Pre-Super-Resolution mAP@0.5 Post-Super-Resolution Improvement (%) VEDAI-VISIBLE 72.5% 82.3% + 13.5% VEDAI-IR 70.1% 78.6% + 12.1% DOTA 65.4% 75.2% + 15.0% Table 4.,,Matched related text evidence with similar numeric value.
8f419d9c3f7b410a8a22bc06a47fdafe,12,"YOLOv5, while the fastest with an inference time of 28 ms, has a slightly lower accuracy at 92.8%.",percentage,92.8%,92.8,insufficient,0.3,text,12,"YOLOv5, while the fastest with an inference time of 28 ms, has a slightly lower accuracy at 92.8%.",,Only direct claim sentence found. Independent supporting evidence not found yet.
3b83c3801d5f4940818f7212b114515f,9,"For instance, it increased the mAP from 72.5 to 82.3% for the VEDAI- VISIBLE dataset and had similar improvements for the VEDAI-IR and DOTA datasets.",trend,72.5,72.5,supported,0.8045454545454545,text,9,This Dataset mAP@0.5 Pre-Super-Resolution mAP@0.5 Post-Super-Resolution Improvement (%) VEDAI-VISIBLE 72.5% 82.3% + 13.5% VEDAI-IR 70.1% 78.6% + 12.1% DOTA 65.4% 75.2% + 15.0% Table 4.,,Matched related text evidence with similar numeric value.
cbbb6e4abf7f4573ae6307104983b60e,12,"For instance, when tested on an NVIDIA RTX 3090 GPU, our method’s memory footprint was around 10.2 GB, higher than YOLOv5’s 7.0 GB.",trend,3090,3090.0,insufficient,0.3,text,12,"For instance, when tested on an NVIDIA RTX 3090 GPU, our method’s memory footprint was around 10.2 GB, higher than YOLOv5’s 7.0 GB.",,Only direct claim sentence found. Independent supporting evidence not found yet.
e8f773ee045b4c6084472ba88aa60c4b,12,"For instance, when tested on an NVIDIA RTX 3090 GPU, our method’s memory footprint was around 10.2 GB, higher than YOLOv5’s 7.0 GB.",trend,10.2 GB,10.2,insufficient,0.3,text,12,"For instance, when tested on an NVIDIA RTX 3090 GPU, our method’s memory footprint was around 10.2 GB, higher than YOLOv5’s 7.0 GB.",,Only direct claim sentence found. Independent supporting evidence not found yet.
6e3345083781437cb163b509f98b91dc,5,"The dataset increased from the previous sets of 207 to 726, and the structural complexity increased.",trend,207,207.0,insufficient,0.3,text,5,"The dataset increased from the previous sets of 207 to 726, and the structural complexity increased.",,Only direct claim sentence found. Independent supporting evidence not found yet.
b6f7752015e74185a6747d95162da505,5,"The dataset increased from the previous sets of 207 to 726, and the structural complexity increased.",trend,"726,",726.0,insufficient,0.3,text,5,"The dataset increased from the previous sets of 207 to 726, and the structural complexity increased.",,Only direct claim sentence found. Independent supporting evidence not found yet.
3cc8087d98f14da7a0b32a8ac912a180,14,Model Class D00 D01 D02 D03 D04 D05 D06 D07 D08 D09 Average Proposed P 0.965 0.989 0.982 0.976 0.980 0.946 0.971 0.987 0.982 0.975 0.975 R 0.953 0.990 0.987 0.981 0.985 0.958 0.976 0.992 0.984 0.980 0.977 F1 0.959 0.994 0.985 0.978 0.982 0.952 0.973 0.985 0.983 0.977 0.975 mAP 0.993 0.994 0.992 0.995 0.996 0.991 0.994 0.998 0.996 0.997 0.994 YOLO-SE34 P 0.955 0.981 0.965 0.962 0.968 0.942 0.961 0.984 0.980 0.974 0.967 R 0.948 0.976 0.960 0.955 0.964 0.934 0.958 0.981 0.978 0.971 0.962 F1 0.951 0.978 0.963 0.957 0.966 0.938 0.960 0.982 0.979 0.972 0.965 mAP 0.984 0.989 0.981 0.988 0.992 0.987 0.991 0.995 0.990 0.994 0.989 Oriented Model35 P 0.950 0.973 0.955 0.958 0.960 0.935 0.959 0.982 0.978 0.970 0.962 R 0.940 0.969 0.950 0.953 0.957 0.932 0.956 0.979 0.977 0.968 0.959 F1 0.945 0.971 0.952 0.955 0.959 0.934 0.957 0.980 0.978 0.969 0.961 mAP 0.975 0.984 0.979 0.987 0.991 0.986 0.990 0.995 0.988 0.993 0.982 DCNN-Based36 P 0.925 0.945 0.938 0.940 0.942 0.920 0.936 0.970 0.965 0.959 0.944 R 0.910 0.932 0.928 0.935 0.938 0.917 0.934 0.967 0.962 0.956 0.941 F1 0.917 0.938 0.932 0.937 0.940 0.918 0.935 0.968 0.964 0.958 0.944 mAP 0.955 0.968 0.960 0.974 0.983 0.977 0.985 0.990 0.984 0.987 0.976 Table 11.,absolute,0.965,0.965,supported,0.92,text,14,Model Class Aircraft Oiltank Overpass Playground Average Proposed P 0.965 0.978 0.967 0.951 0.965 R 0.913 0.944 0.918 0.968 0.936 F1 0.938 0.961 0.946 0.959 0.951 mAP 0.953 0.977 0.982 0.989 0.975 YOLO-SE34 P 0.967 0.964 0.804 0.925 0.915 R 0.899 0.918 0.778 0.968 0.891 F1 0.932 0.940 0.791 0.946 0.902 mAP 0.948 0.982 0.854 0.989 0.943 Oriented Model35 P 0.955 0.948 0.798 0.915 0.904 P 0.955 0.948 0.798 0.915 0.904 R 0.891 0.890 0.772 0.954 0.877 F1 0.922 0.919 0.784 0.934 0.890 mAP 0.932 0.968 0.844 0.984 0.932 DCNN-Based36 P 0.910 0.938 0.834 0.915 0.899 R 0.887 0.920 0.810 0.948 0.891 F1 0.898 0.929 0.822 0.931 0.895 mAP 0.921 0.958 0.820 0.964 0.916 Table 10.,,Matched related text evidence with similar numeric value.
